,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpern,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbsmaxn,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbeccenn,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orbincln,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassn,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_radn,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_densn,pl_ttvflag,pl_kepflag,pl_k2flag,ra_str,dec_str,ra,st_raerr,dec,st_decerr,st_posn,st_dist,st_disterr1,st_disterr2,st_distlim,st_distn,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffn,st_mass,st_masserr1,st_masserr2,st_masslim,st_massn,st_rad,st_raderr1,st_raderr2,st_radlim,st_radn,pl_nnotes,rowupdate,pl_facility,b,l,d,gal_inwards,gal_eastwards,gal_upwards,colorbin
180,HD 192310,c,HD 192310 c,Radial Velocity,0.0,2.0,525.8,9.2,-9.2,0.0,1.0,1.18,0.025,-0.025,0.0,1.0,0.32,0.11,-0.11,0.0,1.0,90.0,,,0.0,1.0,0.076,0.016,-0.016,0.0,1.0,Msin(i)/sin(i),,,,,0.0,,,,,0.0,0.0,0.0,0.0,20h15m17.39s,-27d01m58.7s,303.822449,2e-06,-27.032976,1e-06,4.0,8.8,0.01,-0.01,0.0,4.0,5.73,,0.0,V (Johnson),5.453,,0.0,5166.0,49.0,-49.0,0.0,7.0,0.8,,,0.0,6.0,0.8272304056273321,,,,4.0,0.0,2015-07-02,La Silla Observatory,-29.39744077109922,15.624535153716126,8.8,7.383562944064742,2.0649364851312324,-4.319610580064814,3
250,HIP 79431,b,HIP 79431 b,Radial Velocity,0.0,1.0,111.7,0.7,-0.7,0.0,1.0,0.36,,,0.0,1.0,0.29,0.02,-0.02,0.0,1.0,,,,0.0,0.0,2.1,,,0.0,1.0,Msini,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,16h12m41.77s,-18d52m31.8s,243.174057,8e-06,-18.875504,5e-06,4.0,14.54,0.03,-0.03,0.0,4.0,11.34,,0.0,V (Johnson),10.235,,0.0,3368.0,,,0.0,2.0,0.42,,,0.0,1.0,0.54,,,0.0,1.0,0.0,2019-01-31,W. M. Keck Observatory,22.969597923932408,355.20027539074897,14.54,13.340207992039483,-1.1201439919977658,5.674127965275119,1
255,HR 810,b,HR 810 b,Radial Velocity,0.0,1.0,302.79999,2.3,-2.3,0.0,3.0,0.92,0.02,-0.02,0.0,3.0,0.14,0.13,-0.13,0.0,3.0,,,,0.0,0.0,2.27,0.25,-0.25,0.0,3.0,Msini,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,02h42m33.47s,-50d48m01.1s,40.639442,1e-06,-50.800293,1e-06,3.0,17.33,0.02,-0.02,0.0,5.0,5.41,,0.0,V (Johnson),5.224,,0.0,6167.0,24.0,-24.0,0.0,4.0,1.34,0.13,-0.13,0.0,4.0,1.13,0.02,-0.02,0.0,3.0,0.0,2018-09-06,La Silla Observatory,-58.32362540068913,268.8095927669433,17.33,-0.189059910598516,-9.098379078788401,-14.74831022486542,5
341,7 CMa,b,7 CMa b,Radial Velocity,0.0,2.0,735.1,14.8,-1.0,0.0,3.0,1.758,0.024,-0.001,0.0,3.0,0.06,0.03,-0.03,0.0,3.0,90.0,,,0.0,1.0,1.85,0.06,-0.06,0.0,3.0,Msin(i)/sin(i),,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,06h36m41.04s,-19d15m21.2s,99.17099,1e-06,-19.255878,1e-06,3.0,19.82,0.16,-0.16,0.0,6.0,3.92,,0.0,V (Johnson),3.578,,0.0,4826.0,45.0,-55.0,0.0,5.0,1.34,0.11,-0.12,0.0,4.0,4.87,0.17,-0.14,0.0,4.0,0.0,2019-10-24,Anglo-Australian Telescope,-11.79608717785869,228.68835857753936,19.82,-12.807936322924945,-14.572995260436143,-4.051786801795671,5
345,14 Her,b,14 Her b,Radial Velocity,0.0,1.0,1773.40002,2.5,-2.5,0.0,5.0,2.93,0.08,-0.08,0.0,6.0,0.37,0.0,0.0,0.0,6.0,,,,0.0,0.0,4.66,0.15,-0.15,0.0,6.0,Msini,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,16h10m24.31s,+43d49m03.5s,242.601303,1e-06,43.817646,1e-06,3.0,17.94,0.01,-0.01,0.0,8.0,6.61,0.02,0.0,V (Johnson),6.379,,0.0,5338.0,25.0,-25.0,0.0,8.0,0.9,0.04,-0.04,0.0,9.0,0.93,0.01,-0.01,0.0,5.0,0.0,2018-09-06,W. M. Keck Observatory,46.944913016875006,69.17044241976356,17.939999999999998,4.355135116282204,11.447181481724282,13.108715964708146,3
386,47 UMa,b,47 UMa b,Radial Velocity,0.0,3.0,1078.0,2.0,-2.0,0.0,4.0,2.1,0.02,-0.02,0.0,4.0,0.032,0.014,-0.014,0.0,4.0,,,,,0.0,2.53,0.07,-0.06,0.0,4.0,Msini,,,,,0.0,,,,,0.0,0.0,0.0,0.0,10h59m27.97s,+40d25m48.9s,164.866562,1e-06,40.430256,1e-06,3.0,13.8,0.03,-0.03,0.0,7.0,5.05,,0.0,V (Johnson),4.831,,0.0,5892.0,70.0,-70.0,0.0,7.0,1.03,0.05,-0.05,0.0,6.0,1.23,,,0.0,4.0,0.0,2014-05-14,Lick Observatory,63.369067270115494,175.78243740026144,13.8,-6.168985151962889,0.4549231410448149,12.335990723513184,4
387,47 UMa,c,47 UMa c,Radial Velocity,0.0,3.0,2391.0,100.0,-87.0,0.0,2.0,3.6,0.1,-0.1,0.0,2.0,0.098,0.047,-0.096,0.0,2.0,,,,,0.0,0.54,0.066,-0.073,0.0,2.0,Msini,,,,,0.0,,,,,0.0,0.0,0.0,0.0,10h59m27.97s,+40d25m48.9s,164.866562,1e-06,40.430256,1e-06,3.0,13.8,0.03,-0.03,0.0,7.0,5.05,,0.0,V (Johnson),4.831,,0.0,5892.0,70.0,-70.0,0.0,7.0,1.03,0.05,-0.05,0.0,6.0,1.23,,,0.0,4.0,0.0,2014-05-14,Lick Observatory,63.369067270115494,175.78243740026144,13.8,-6.168985151962889,0.4549231410448149,12.335990723513184,4
388,47 UMa,d,47 UMa d,Radial Velocity,0.0,3.0,14002.0,4018.0,-5095.0,0.0,1.0,11.6,2.1,-2.9,0.0,1.0,0.16,0.09,-0.16,0.0,1.0,,,,,0.0,1.64,0.29,-0.48,0.0,1.0,Msini,,,,,0.0,,,,,0.0,0.0,0.0,0.0,10h59m27.97s,+40d25m48.9s,164.866562,1e-06,40.430256,1e-06,3.0,13.8,0.03,-0.03,0.0,7.0,5.05,,0.0,V (Johnson),4.831,,0.0,5892.0,70.0,-70.0,0.0,7.0,1.03,0.05,-0.05,0.0,6.0,1.23,,,0.0,4.0,0.0,2014-05-14,Lick Observatory,63.369067270115494,175.78243740026144,13.8,-6.168985151962889,0.4549231410448149,12.335990723513184,4
389,51 Peg,b,51 Peg b,Radial Velocity,0.0,1.0,4.230785,3.6e-05,-3.6e-05,0.0,4.0,0.0527,0.003,-0.003,0.0,3.0,0.013,0.012,-0.012,0.0,4.0,,,,,1.0,0.472,0.039,-0.039,0.0,5.0,Msini,,,,,0.0,,,,,0.0,0.0,0.0,0.0,22h57m27.98s,+20d46m07.8s,344.366577,2e-06,20.768833,1e-06,3.0,15.47,0.03,-0.03,0.0,7.0,5.5,,0.0,V (Johnson),5.256,,0.0,5793.0,70.0,-70.0,0.0,6.0,1.12,0.06,-0.06,0.0,5.0,1.2,,,0.0,5.0,0.0,2014-05-14,Haute-Provence Observatory,-34.727255340255255,90.06263629725116,15.469999999999997,-0.0138994770522185,12.714369945658191,-8.812803395599003,4
390,55 Cnc,b,55 Cnc b,Radial Velocity,0.0,5.0,14.65152,0.00015,-0.00015,0.0,10.0,0.115227,1e-06,-1e-06,0.0,10.0,0.0034,0.0032,-0.0032,0.0,10.0,90.0,,,0.0,2.0,0.8306,0.0033,-0.0033,0.0,10.0,Mass,,,,,0.0,,,,,0.0,0.0,0.0,0.0,08h52m35.81s,+28d19m50.9s,133.149216,2e-06,28.330818,2e-06,4.0,12.59,0.01,-0.01,0.0,7.0,5.96,0.01,0.0,V (Johnson),5.714,,0.0,5196.0,24.0,-24.0,0.0,8.0,0.91,0.01,-0.01,0.0,11.0,0.94,0.01,-0.01,0.0,7.0,0.0,2014-10-29,Lick Observatory,37.698899379635755,196.79465739826855,12.590000000000002,-9.536752289565769,-2.878344977037509,7.698934079508996,3
